Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild
canary rockfish,9/13/2010,19.7,20-Oct,1,1.83,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2010,17.1,20-Oct,1,1.81,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2010,17.3,20-Oct,1,1.8,NA,Cage Study - Hannah,Deep Pelagic
quillback rockfish,9/13/2010,21.1,20-30,1,1.89,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,9/13/2010,23.2,20-30,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
copper rockfish,9/13/2010,23.9,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,9/13/2010,22.3,20-30,1,1.85,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2010,23.5,20-30,1,1.84,NA,Cage Study - Hannah,Deep Pelagic
quillback rockfish,9/13/2010,27.4,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,9/13/2010,24.3,20-30,1,1.95,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2010,27.2,20-30,1,1.94,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,9/13/2010,27.4,20-30,1,1.94,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,9/13/2010,27.3,20-30,1,1.9,NA,Cage Study - Hannah,Deep Demersal
black rockfish,10/17/2010,25,20-30,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,10/17/2010,23.8,20-30,1,1.82,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,10/17/2010,22.6,20-30,1,1.85,NA,Cage Study - Hannah,Deep Demersal
blue blue deacon rockfish,10/17/2010,23.4,20-30,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/17/2010,24.5,20-30,1,1.88,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/17/2010,29.3,20-30,1,2,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/17/2010,29,20-30,1,2,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/17/2010,29.1,20-30,1,1.91,NA,Cage Study - Hannah,Deep Pelagic
quillback rockfish,10/17/2010,27,20-30,1,1.91,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,10/17/2010,25,20-30,1,1.89,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,9/6/2012,28.8,20-30,1,3.83,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,29.5,20-30,1,3.83,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/6/2012,29.5,20-30,1,3.82,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/6/2012,29.5,20-30,1,3.82,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/6/2012,29.5,20-30,1,3.82,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/6/2012,29.5,20-30,1,3.82,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/6/2012,29.3,20-30,1,3.82,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/6/2012,28,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,28.7,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,29,20-30,1,3.83,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,28.2,20-30,1,3.81,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,28.2,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,27.2,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,27.3,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,25.7,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/6/2012,26,20-30,1,3.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,31.8,30-40,1,3.96,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,31.2,30-40,1,3.96,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,31.7,30-40,1,3.95,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/13/2012,30.5,30-40,1,3.95,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/13/2012,34.2,30-40,1,3.94,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,32.7,30-40,1,3.93,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,31.2,30-40,1,3.92,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/13/2012,34.5,30-40,1,3.9,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/13/2012,34.5,30-40,1,3.92,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/13/2012,32.7,30-40,1,3.92,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/13/2012,35.2,30-40,1,3.91,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,30.2,30-40,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,30.5,30-40,1,3.9,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,30.8,30-40,1,3.9,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2012,34,30-40,1,3.9,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,35.5,30-40,1,3.98,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,35.3,30-40,1,3.98,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,38,30-40,1,3.97,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,36.7,30-40,1,3.96,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,35.8,30-40,1,3.95,NA,Cage Study - Hannah,Deep Demersal
tiger rockfish,9/20/2012,37.3,30-40,1,3.95,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,37.2,30-40,1,3.94,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,35.8,30-40,1,3.94,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,40.3,40-50,1,3.93,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/20/2012,39.8,30-40,0,3.89,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/20/2012,37.7,30-40,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,39.3,30-40,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,39.3,30-40,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,40.2,40-50,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,38.8,30-40,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/20/2012,36.8,30-40,0,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,42.8,40-50,1,3.98,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/27/2012,40.8,40-50,1,3.99,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/27/2012,41.3,40-50,1,3.98,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/27/2012,41.3,40-50,1,3.98,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/27/2012,41.7,40-50,1,3.91,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,42,40-50,1,3.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,42,40-50,1,3.9,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,41.2,40-50,1,3.9,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/27/2012,43.2,40-50,1,3.85,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/27/2012,42.5,40-50,1,3.85,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,42.3,40-50,1,3.83,NA,Cage Study - Hannah,Deep Demersal
tiger rockfish,9/27/2012,43.3,40-50,1,3.83,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,42,40-50,1,3.81,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,43.5,40-50,1,3.79,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/27/2012,40.7,40-50,1,3.8,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/27/2012,41,40-50,0,3.8,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/8/2012,36.7,30-40,1,3.28,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,36.7,30-40,1,3.29,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/8/2012,36.5,30-40,1,3.26,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/8/2012,37.2,30-40,1,3.24,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,36.2,30-40,1,3.21,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,38.8,30-40,1,3.19,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,38.2,30-40,1,3.2,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,40.8,40-50,0,3.18,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,43.3,40-50,1,3.16,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/8/2012,44.5,40-50,1,3.14,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/8/2012,42,40-50,1,3.12,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/8/2012,42,40-50,1,2.3,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,4/26/2013,30.3,30-40,1,2.95,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,4/26/2013,30.2,30-40,0,2.95,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,4/26/2013,30,30-40,1,2.95,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,4/26/2013,31.3,30-40,1,2.98,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,4/26/2013,31.3,30-40,1,2.94,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,4/26/2013,31.7,30-40,1,2.91,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,4/26/2013,30.8,30-40,1,2.91,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,4/26/2013,30.7,30-40,1,2.9,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,4/26/2013,30,30-40,1,2.9,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,4/26/2013,30.5,30-40,1,2.9,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,4/26/2013,30.7,30-40,1,2.9,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,4/26/2013,30,30-40,1,2.89,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,4/26/2013,31.7,30-40,1,2.89,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/11/2013,80.5,80-90,1,1.88,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/11/2013,78.7,70-80,0,1.87,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/11/2013,78.7,70-80,1,1.87,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,93.3,90-100,1,1.86,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,88.3,80-90,1,1.85,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,89.2,80-90,1,1.84,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,83.3,80-90,1,1.82,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,83.3,80-90,1,1.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,83.5,80-90,1,1.89,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/11/2013,88.3,80-90,0,1.88,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/13/2013,81,80-90,1,2.96,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/13/2013,80.7,80-90,0,2.96,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,78,70-80,0,2.95,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,84.2,80-90,0,2.93,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/13/2013,87.3,80-90,1,2.9,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/13/2013,82,80-90,0,2.9,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,89.2,80-90,1,2.87,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,83.2,80-90,0,2.83,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,82.2,80-90,0,2.82,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2013,82.5,80-90,0,2.8,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/16/2013,44.7,40-50,1,1.83,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/16/2013,44.7,40-50,0,1.81,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/16/2013,45,40-50,1,1.8,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/16/2013,44.7,40-50,1,1.8,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/16/2013,44.3,40-50,1,1.82,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/16/2013,45.3,40-50,1,1.8,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/16/2013,44.7,40-50,1,1.77,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,9/16/2013,46.5,40-50,1,1.75,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,9/16/2013,45.5,40-50,1,1.74,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,9/16/2013,46,40-50,1,1.73,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/15/2013,42.5,40-50,1,1.94,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,42.3,40-50,0,1.94,NA,Cage Study - Hannah,Deep Pelagic
vermilion sunset rockfish,10/15/2013,41.5,40-50,1,1.92,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/15/2013,42.5,40-50,1,1.91,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,41.5,40-50,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,41.7,40-50,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,39.5,30-40,1,2.06,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,39.7,30-40,1,2.04,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,39.8,30-40,1,2.03,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,39,30-40,1,2.02,NA,Cage Study - Hannah,Deep Pelagic
tiger rockfish,10/15/2013,39.5,30-40,1,2.01,NA,Cage Study - Hannah,Deep Demersal
tiger rockfish,10/15/2013,39.2,30-40,1,2.01,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/15/2013,39.7,30-40,1,2,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,37.5,30-40,1,1.98,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/15/2013,39.3,30-40,1,1.94,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/17/2013,39.2,30-40,1,1.93,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/17/2013,31.8,30-40,1,1.81,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/17/2013,32.2,30-40,1,1.8,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/17/2013,32.3,30-40,1,1.8,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/17/2013,31.8,30-40,1,1.79,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/17/2013,32.2,30-40,1,1.79,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/17/2013,37.5,30-40,1,1.67,NA,Cage Study - Hannah,Deep Pelagic
vermilion sunset sunset rockfish,6/16/2005,31.3,30-40,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
squarespot rockfish,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Dwarf
speckled rockfish,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
chilipepper,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Deep Pelagic
vermilion sunset sunset rockfish,6/16/2005,32.4,30-40,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
speckled rockfish,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
squarespot rockfish,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Dwarf
speckled rockfish,5/30/2006,44,40-50,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
halfbanded rockfish,6/16/2005,32.4,30-40,0,2,NA,Cage Study - Jarvis and Lowe,Dwarf
vermilion sunset sunset rockfish,6/16/2005,31.3,30-40,0,2,NA,Cage Study - Jarvis and Lowe,Deep Demersal
squarespot rockfish,6/16/2005,30.8,30-40,0,2,NA,Cage Study - Jarvis and Lowe,Dwarf
